Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,93.5,92.6,89.49,87.7,91.12,94.01,85.15,90.68,A,36.9,Yes,No,Master's,High,3,10
S1001,Maria,Brown,student1@university.com,Male,18,Business,65.97,64.64,62.65,57.58,56.08,64.92,55.81,61.8,C,28.4,No,Yes,High School,Low,4,6.2
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,78.1,70.49,75.77,77.7,91.22,79.28,76.21,76.47,B,27.5,Yes,No,High School,Low,8,8.8
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,71.74,66.63,69.5,68.78,69.01,75.34,61.24,69.03,C,23.8,No,Yes,High School,Low,1,7.5
S1004,John,Smith,student4@university.com,Female,23,CS,76.09,62.63,65.28,62.14,57.23,69.71,60.91,63.5,C,20.7,Yes,No,,High,3,6
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,78.2,78.45,80.01,58.07,50.33,74.22,52.94,71.61,B,27.5,Yes,Yes,High School,High,2,6.1
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,97.44,79.51,58.13,74.42,69.14,91.74,58.47,72.26,B,23.1,Yes,Yes,Bachelor's,,2,7.8
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,72.37,50.22,57.63,53.36,72.9,73.48,59.85,57.66,D,21.6,Yes,No,High School,Low,7,6.5
S1008,Omar,Smith,student8@university.com,Female,21,CS,80.11,64.52,65.22,79.37,62.77,86.09,79.84,69.68,C,25.3,No,Yes,PhD,High,5,7.2
S1009,Sara,Smith,student9@university.com,Female,22,Business,67.72,65.09,52.68,64.52,68.74,66.23,65.01,61.73,C,31.5,Yes,No,High School,Low,1,8.2
S1010,John,Smith,student10@university.com,Female,23,Business,95.85,100,100,91.78,85.14,99.53,91.89,96.82,A,37.1,Yes,Yes,High School,Low,2,10
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,74.45,64.43,64.28,68.82,69.69,77.42,57.56,67.09,C,29.1,Yes,No,,Low,5,7.1
S1012,John,Davis,student12@university.com,Male,21,Engineering,40.61,39.53,48.18,33.47,44.2,39.94,46.65,41.42,F,16.3,No,Yes,High School,Low,6,5
S1013,John,Williams,student13@university.com,Male,18,Business,67.7,70.55,73.47,76.52,72.93,71.28,74.55,72.93,B,33,No,No,PhD,High,2,7.7
S1014,Liam,Williams,student14@university.com,Male,19,CS,50.36,59.83,67.72,65.52,47.18,63.04,73.03,62.39,C,27.2,No,No,Bachelor's,Medium,3,6.2
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,77.98,74.06,81.42,76.52,87.67,76.91,65.49,78.41,B,33.1,Yes,No,Bachelor's,Medium,1,10
S1016,Maria,Jones,student16@university.com,Female,21,Business,74.08,63.41,56.5,58.06,60.2,71.09,56.49,60.71,C,27,No,Yes,High School,Medium,3,6.1
S1017,Liam,Davis,student17@university.com,Female,23,CS,71.12,68.41,72.3,70.45,62.8,69.56,82.39,69.54,C,20.6,No,No,Bachelor's,Medium,6,7
S1018,Liam,Jones,student18@university.com,Male,20,Business,83.9,72.85,67.27,76.64,81.81,85.08,80.87,74.05,B,30.1,Yes,No,High School,Low,1,8.1
S1019,John,Johnson,student19@university.com,Male,20,CS,53.47,76.07,62.89,59.68,64.8,51.38,50.62,65.24,C,24.6,No,Yes,,High,1,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,91.92,79.02,90.35,80,91.32,97.86,82.48,85.73,A,34.9,No,No,PhD,High,1,9.4
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,80.46,69.63,71.9,70.72,79.19,85.44,65.75,73.07,B,28.7,No,No,High School,Low,1,8.2
S1022,Sara,Davis,student22@university.com,Male,22,Business,75.41,92.75,100,85.38,93.54,79.34,75.19,92.19,A,34.5,No,No,PhD,High,1,10
S1023,Liam,Williams,student23@university.com,Female,23,CS,76.45,65.27,50.68,70.12,72.81,70.93,65.26,63.18,C,20.5,Yes,No,Bachelor's,Medium,3,7.8
S1024,Maria,Williams,student24@university.com,Female,20,Business,100,83.74,87.32,85.55,95.18,100,84.56,87.95,A,31.7,No,Yes,High School,Low,2,9.3
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,85.84,60.11,69.1,61.78,72.54,90.62,63.08,67.43,C,29.5,No,No,PhD,High,5,6.2
S1026,Emma,Johnson,student26@university.com,Male,18,Business,100,89.53,100,90.02,100,100,81.4,94.86,A,37.8,No,No,PhD,High,1,10
S1027,Sara,Johnson,student27@university.com,Male,18,Engineering,69.78,69.79,69.92,46.2,56.52,73.11,47.14,64.12,C,16.4,No,No,High School,Low,4,6.4
S1028,Liam,Davis,student28@university.com,Female,21,Engineering,94.28,88.21,91.51,84.59,91.15,91.26,75.47,89.08,A,32.6,Yes,No,Master's,High,5,9.6
S1029,Maria,Jones,student29@university.com,Female,23,Mathematics,92.45,89.15,94.3,100,80.88,91.09,95.57,92.23,A,36.6,Yes,Yes,PhD,High,5,8.6
S1030,Ahmed,Brown,student30@university.com,Female,22,Business,63.96,57.2,59.12,82,48.1,69.36,83.1,63.04,C,24.8,Yes,No,High School,Low,4,7.1
S1031,Ali,Johnson,student31@university.com,Male,22,Engineering,95.88,85.05,80.22,86.11,95.1,98.93,72.51,86.21,A,29,Yes,Yes,,High,3,9.6
S1032,Maria,Smith,student32@university.com,Female,21,Business,84.57,73.12,85.76,62.1,76.88,76.66,53.77,75.44,B,34.7,Yes,Yes,Master's,,1,7
S1033,Sara,Williams,student33@university.com,Male,19,Engineering,75.48,65.73,71.95,83.11,77.06,77.36,76.8,73.37,B,27.8,No,No,High School,Low,1,9.4
S1034,Emma,Davis,student34@university.com,Female,21,CS,77.2,63.73,69.82,74.94,76.79,80.14,77.74,70.75,B,26.9,No,No,Master's,High,2,7.7
S1035,Ahmed,Smith,student35@university.com,Female,23,CS,85.32,58.85,55.64,84.5,57.7,89.3,74.36,65.95,C,20.9,No,No,Bachelor's,Medium,2,6.3
S1036,Maria,Davis,student36@university.com,Female,18,Mathematics,75.34,88.46,72.99,72.3,70.84,74.61,77.08,77.44,B,30.9,Yes,No,Master's,High,1,7.6
S1037,Ali,Williams,student37@university.com,Male,21,Mathematics,83.04,85.53,74.88,67.17,65.89,82.7,58.73,76.42,B,28.6,Yes,Yes,High School,Low,4,7.1
S1038,Ali,Williams,student38@university.com,Male,18,Business,66.63,42.34,40.08,47.75,54.24,68.56,42.79,46.56,F,19.2,Yes,Yes,Master's,High,7,6.2
S1039,John,Johnson,student39@university.com,Female,23,Mathematics,64.45,55.9,59.15,69.09,59.38,68.91,65.72,61.16,C,23.7,No,Yes,PhD,High,3,7.4
S1040,John,Johnson,student40@university.com,Male,24,Business,64.43,65.89,77.16,65.85,62.92,64.57,61.82,68.83,C,28.8,Yes,No,Master's,High,4,7.7
S1041,Omar,Smith,student41@university.com,Male,23,CS,56.46,37.07,35.83,34.81,39.96,64.28,32.4,39.26,F,14.2,Yes,Yes,High School,Low,7,4
S1042,Sara,Davis,student42@university.com,Male,20,CS,81.39,71,63.15,68.02,57.16,82.94,58.26,67.86,C,27.5,No,Yes,High School,Low,2,7.9
S1043,Liam,Williams,student43@university.com,Male,18,Engineering,60.87,82.81,63.73,85.61,78.55,57.3,72.3,74.67,B,28.4,Yes,Yes,Master's,High,4,8.3
S1044,Maria,Smith,student44@university.com,Male,22,Business,100,79.56,71.74,80.04,77.64,90,84.16,78.16,B,27.5,No,Yes,Bachelor's,Medium,1,9.5
S1045,Maria,Brown,student45@university.com,Male,21,CS,77.26,75.89,66.54,66.97,65.25,76.75,66.9,70.32,B,28.8,Yes,No,Master's,High,2,4.8
S1046,Liam,Smith,student46@university.com,Male,24,CS,73.03,65.42,69.78,61.43,62.07,89.71,73.64,68.02,C,23.9,Yes,Yes,High School,Low,2,5.2
S1047,Omar,Jones,student47@university.com,Female,23,Business,83.41,70.1,74.71,52.82,68.23,81.17,53.96,68.95,C,27.1,No,Yes,High School,Low,5,7.4
