Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,88.36,93.28,92.04,76.27,79.51,91.97,88.48,A,19.8,Yes,Yes,Master's,High,1,5.9
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,82.59,80.05,72.68,59.68,82.72,66.68,77.57,B,24.0,No,No,High School,Low,4,4.3
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,85.76,100.0,73.22,71.72,94.88,67.73,87.03,A,23.0,Yes,Yes,High School,Low,9,6.1
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,57.12,55.83,62.7,85.0,73.5,68.57,62.28,C,23.0,No,No,High School,Low,8,4.9
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,44.16,46.45,79.6,83.7,91.46,82.14,60.62,C,22.1,Yes,Yes,Master's,High,6,4.5
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,75.7,70.18,59.1,59.2,66.83,49.17,68.19,C,20.3,Yes,Yes,High School,High,6,5.6
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,68.1,68.42,52.0,82.55,73.8,40.91,66.99,C,29.3,Yes,Yes,Bachelor's,Medium,2,4.0
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,80.77,89.07,94.23,62.33,73.27,97.98,83.36,A,26.0,Yes,Yes,High School,Low,5,7.8
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,85.39,89.37,79.64,72.31,85.43,76.59,84.13,A,20.4,No,No,PhD,High,9,4.8
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,86.18,74.92,75.78,60.96,94.93,72.97,79.07,B,25.9,Yes,Yes,High School,Low,8,7.1
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,68.88,77.33,68.77,62.78,71.48,64.78,71.04,B,21.1,Yes,No,High School,Low,4,8.2
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,74.29,78.53,89.92,68.95,73.13,94.82,78.04,B,21.2,Yes,Yes,High School,Low,7,8.6
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,70.57,74.34,99.14,78.71,69.98,92.94,78.17,B,24.4,No,No,High School,Low,9,6.8
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,80.37,75.19,85.92,70.04,91.21,85.84,79.98,B,14.4,No,No,PhD,High,5,7.9
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,71.09,68.21,75.11,76.06,76.83,74.54,72.1,B,16.3,No,No,Bachelor's,Medium,2,6.3
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,98.09,94.29,66.84,57.9,77.15,72.06,84.59,A,20.6,Yes,Yes,Bachelor's,Medium,2,6.5
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,56.78,57.11,70.8,64.05,84.69,80.9,63.2,C,18.6,No,No,High School,Medium,8,6.7
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,65.92,75.61,85.53,65.72,64.5,84.47,72.59,B,23.2,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,35.75,40.02,65.63,71.81,72.43,64.77,50.28,D,18.3,Yes,Yes,High School,Low,8,7.3
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,74.38,62.82,72.12,83.5,82.27,75.51,72.16,B,19.3,No,No,Master's,High,5,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,72.55,65.23,78.22,88.65,75.48,81.41,73.39,B,26.4,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,68.82,62.63,67.01,56.64,82.5,64.67,66.75,C,22.7,No,No,High School,Low,10,8.4
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,67.97,67.8,57.88,85.32,71.62,45.68,68.0,C,14.0,No,No,PhD,High,8,7.5
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,66.84,69.77,65.36,57.35,83.06,54.88,68.1,C,20.4,Yes,Yes,Bachelor's,Medium,4,8.6
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,35.79,43.95,74.92,65.84,63.79,64.21,51.87,D,20.5,No,No,High School,Low,9,7.8
