Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Omar,Williams,student0@university.com,Female,22,Mathematics,97.36,40.61,18.56671144736077,73.69,53.17,73.4,49.84,42.6826276856488,F,19.8,Yes,No,Master's,Medium,1,5.9
S1001,Maria,Brown,student1@university.com,Male,18,Business,97.71,68.27000000000001,86.4748956933027,74.23,98.23,88.0,98.23,84.22639995705431,B,24.0,No,No,High School,Low,4,4.3
S1002,Ahmed,Jones,student2@university.com,Male,24,Engineering,99.52,41.84,69.77673168982386,85.85,50.0,4.699999999999999,74.22,60.61942431457163,D,23.0,Yes,No,High School,Low,9,6.1
S1003,Omar,Williams,student3@university.com,Female,24,Engineering,90.38,45.65,0.0845306264638689,68.1,66.27,4.2,55.48,40.90248816906345,F,23.0,No,Yes,High School,Low,8,4.9
S1004,John,Smith,student4@university.com,Female,23,CS,59.41,53.13,73.41664550201006,67.66,83.98,64.3,87.43,74.13009256179838,C,22.1,Yes,No,Master's,Medium,6,4.5
S1005,Liam,Brown,student5@university.com,Male,21,Mathematics,60.6,54.21,63.55544151406175,87.85,52.26,54.8,48.650000000000006,62.15674746622704,D,20.3,Yes,No,,Medium,6,5.6
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,67.01,90.85,83.31774692240505,89.0,54.17,15.5,87.51,81.28701695068561,B,29.3,Yes,No,Bachelor's,High,2,4.0
S1007,Ahmed,Smith,student7@university.com,Male,19,Engineering,65.91,91.72,79.8942830575997,50.72,53.83,54.8,90.04,77.17754213388413,C,26.0,Yes,Yes,,Low,5,7.8
S1008,Omar,Smith,student8@university.com,Female,21,CS,97.83,63.97,66.76515187515713,57.19,79.08,97.4,57.57,68.17405962946903,D,20.4,No,Yes,PhD,High,9,4.8
S1009,Sara,Smith,student9@university.com,Female,22,Business,89.45,95.69,88.20410960760306,60.65,94.8,63.1,83.09,81.60993917745508,B,25.9,Yes,No,,High,8,7.1
S1010,John,Smith,student10@university.com,Female,23,Business,86.2,70.0,74.13737182414353,67.58,77.77,44.900000000000006,93.14,72.33557637183156,C,21.1,Yes,Yes,High School,Low,4,8.2
S1011,Omar,Williams,student11@university.com,Female,20,Mathematics,59.3,93.34,71.14185768134955,64.57,80.18,82.8,66.17,73.1668533703965,C,21.2,Yes,No,,Low,7,8.6
S1012,John,Davis,student12@university.com,Male,21,Engineering,95.48,67.24,76.85477533887655,83.43,67.3,21.3,54.02,78.66030208520894,C,24.4,No,No,,Medium,9,6.8
S1013,John,Williams,student13@university.com,Male,18,Business,91.39,56.63,62.87416089027735,91.41,50.94,41.4,51.36,60.55896083104377,D,14.4,No,No,PhD,Medium,5,7.9
S1014,Liam,Williams,student14@university.com,Male,19,CS,58.18,81.98,61.64751432324123,59.6,51.08,52.8,55.5,68.91717431549012,D,16.3,No,Yes,Bachelor's,High,2,6.3
S1015,Ahmed,Jones,student15@university.com,Male,18,CS,93.56,63.28,78.41354785591118,78.15,94.42,50.5,50.21,71.27816020327391,C,20.6,Yes,No,Bachelor's,Low,2,6.5
S1016,Maria,Jones,student16@university.com,Female,21,Business,63.61,57.2,69.45635862756475,68.39,55.13,92.1,49.35,68.18210847690615,D,18.6,No,Yes,High School,High,8,6.7
S1017,Liam,Davis,student17@university.com,Female,23,CS,54.04,59.73,69.02934046648271,75.29,99.99,29.3,49.97,69.35370028237946,D,23.2,No,No,Bachelor's,Medium,8,7.4
S1018,Liam,Jones,student18@university.com,Male,20,Business,82.84,64.77,67.17587734010014,81.04,58.22,5.699999999999999,55.52,63.72999767678576,D,18.3,Yes,Yes,High School,High,8,7.3
S1019,John,Johnson,student19@university.com,Male,20,CS,82.69,99.7,84.4207914730496,94.68,83.73,91.6,82.56,81.5141543855002,B,19.3,No,Yes,Master's,Low,5,7.9
S1020,Emma,Davis,student20@university.com,Male,18,Business,54.75,41.53,67.37957862557954,59.61,97.45,21.7,86.6,64.87884101640994,D,26.4,No,No,PhD,High,2,7.1
S1021,Ahmed,Jones,student21@university.com,Male,22,Business,65.94,93.99,77.46496908475386,54.35,68.11,37.9,95.05,78.09291460199033,C,22.7,No,No,,High,10,8.4
S1022,Sara,Davis,student22@university.com,Male,22,Business,99.64,40.24,13.968702109506063,81.36,86.72,53.1,48.64,14.400880455691306,F,14.0,No,Yes,PhD,Low,8,7.5
S1023,Liam,Williams,student23@university.com,Female,23,CS,83.92,75.85,87.26217632972715,69.71,67.54,97.6,88.5,89.41654700222581,B,20.4,Yes,Yes,Bachelor's,Low,4,8.6
S1024,Maria,Williams,student24@university.com,Female,20,Business,86.5,50.12,73.3308663625411,58.15,65.25,53.5,96.84,70.23382229472861,C,20.5,No,Yes,,Low,9,7.8
S1025,Emma,Davis,student25@university.com,Male,18,Mathematics,60.65,85.44,74.18900724163684,55.85,60.09,44.8,95.32,75.95733413088897,C,23.6,No,No,PhD,Medium,10,7.7
S1026,Emma,Johnson,student26@university.com,Male,18,Business,53.94,48.04,80.164771339652,77.95,91.05,58.4,94.23,81.17657714810952,B,20.1,No,No,PhD,High,6,8.3
